Age,Annual_Income,Employment_Years,Monthly_Debt,Debt_to_Income,Credit_Utilization,Late_Payments,Credit_History_Years,Credit_Accounts,Loan_Amount,Previous_Defaults,Payment_History_Score,Home_Ownership,Marital_Status,Education_Level,Creditworthy
47,77000,18,950,0.15,25,0,20,7,14000,0,97,Mortgage,Married,Master,1
29,38000,3,700,0.22,37,1,5,3,5500,0,90,Rent,Single,HighSchool,1
51,94000,24,1000,0.13,18,0,26,8,18000,0,100,Own,Married,Bachelor,1
36,63000,11,1200,0.23,40,1,13,5,11500,0,89,Rent,Single,Bachelor,1
27,41000,4,800,0.23,40,1,6,4,7000,0,91,Rent,Single,HighSchool,1
45,78000,15,900,0.14,25,0,18,8,15000,0,98,Own,Married,Master,1
38,61000,10,1050,0.21,37,1,12,5,11000,0,90,Rent,Single,Bachelor,1
23,29000,1,950,0.39,68,3,2,2,4500,0,74,Rent,Single,HighSchool,0
44,74000,14,1150,0.19,28,0,16,7,13000,0,96,Own,Married,Bachelor,1
34,58000,9,1250,0.26,45,2,10,5,12000,0,88,Rent,Single,Master,1
49,85000,18,950,0.13,21,0,22,8,15000,0,99,Mortgage,Married,Bachelor,1
33,50000,8,1300,0.31,55,3,8,5,14000,1,80,Rent,Divorced,Bachelor,0
26,36000,3,700,0.23,38,1,4,3,6500,0,91,Rent,Single,HighSchool,1
48,82000,18,1300,0.19,22,0,20,9,17000,0,99,Mortgage,Married,Master,1
30,42000,5,1600,0.48,75,5,6,4,13000,1,65,Rent,Single,HighSchool,0
42,72000,12,1000,0.20,30,0,14,6,12000,0,97,Own,Married,Bachelor,1
,37000,3,800,0.25,45,1,5,3,6000,0,90,Rent,Single,HighSchool,1
53,,24,1300,0.16,20,0,27,8,19000,0,99,Own,Married,Master,1
37,63000,10,1200,0.23,44,2,13,5,12500,0,88,Rent,Single,Bachelor,1
29,40000,,1500,0.45,78,5,6,4,10000,1,60,Rent,Divorced,HighSchool,0
50,90000,22,,0.13,18,0,24,8,20000,0,100,Mortgage,Married,Master,1
31,48000,6,1100,0.28,,1,7,4,10500,0,85,Rent,Single,Bachelor,1
47,80000,17,950,0.14,22,0,21,7,15000,0,98,Mortgage,Married,Bachelor,1
34,58000,9,1100,0.23,40,1,10,5,10000,0,88,Rent,Single,Bachelor,1
41,69000,13,950,0.17,28,0,15,6,12500,0,97,Own,Married,Bachelor,1
27,39000,3,850,0.26,46,2,5,3,7000,0,86,Rent,Single,HighSchool,1
52,91000,24,1100,0.14,20,0,27,9,18500,0,99,Mortgage,Married,Master,1
34,56000,8,1350,0.29,48,2,9,5,,0,87,Rent,Single,Bachelor,1
29,41000,4,1650,0.47,,5,6,4,11000,1,61,Rent,Divorced,HighSchool,0
46,80000,18,900,0.13,22,0,21,8,15500,0,99,Mortgage,Married,Master,1
31,50000,6,1000,0.24,40,1,8,5,9500,0,91,Own,Single,Bachelor,1
25,34000,2,900,0.32,58,3,4,2,6000,0,78,Rent,Single,HighSchool,0
38,65000,11,1050,0.19,30,0,13,6,12000,0,96,Own,Married,Bachelor,1
54,102000,29,1200,0.14,18,0,31,10,24000,0,100,Own,Married,Master,1
33,47000,7,1800,0.46,76,4,8,5,14500,1,67,Rent,Divorced,Bachelor,0
42,73000,14,950,0.16,26,0,16,7,13500,0,98,Mortgage,Married,Bachelor,1
28,45000,5,850,0.23,39,1,6,4,,0,92,Rent,Single,Bachelor,1
36,59000,9,1200,0.24,44,2,10,5,12500,0,89,Own,Married,Master,1
23,30000,1,1100,0.44,72,4,2,2,5000,1,63,Rent,Single,HighSchool,0
49,84000,19,950,0.14,21,0,23,8,16500,0,99,Mortgage,Married,Master,1
30,51000,6,1100,0.26,43,1,7,5,10000,0,90,Rent,Single,Bachelor,1
44,76000,15,1000,0.17,27,0,18,7,14500,0,97,Own,Married,Bachelor,1
26,37000,3,750,0.24,41,1,5,3,6500,0,90,Rent,Single,HighSchool,1
51,93000,23,1100,0.14,19,0,26,9,19000,0,100,Mortgage,Married,Master,1
35,54000,8,1700,0.44,73,4,9,5,13500,1,65,Rent,Divorced,Bachelor,0
39,67000,12,1000,0.18,31,0,14,6,12000,0,95,Own,Married,Bachelor,1
24,32000,2,850,0.31,56,2,3,2,5500,0,81,,Single,,0
47,79000,18,900,0.14,23,0,21,8,15000,0,98,Mortgage,Married,Master,1
32,52000,7,950,0.22,36,0,8,5,9500,0,94,Own,Single,Bachelor,1
55,108000,30,1300,0.14,18,0,33,11,26000,0,100,Own,Married,PhD,1
29,43000,4,1600,0.45,77,5,6,4,11500,1,60,Rent,Single,HighSchool,0
40,70000,13,1050,0.18,29,0,15,6,12500,0,96,Mortgage,Married,Bachelor,1
27,41000,4,900,0.26,42,1,5,3,7000,0,89,Rent,Single,Bachelor,1
53,97000,26,1000,0.12,18,0,28,9,20500,0,100,Own,Married,Master,1
34,58000,9,1200,0.25,46,2,10,5,12000,0,88,Rent,Single,Bachelor,1
45,78000,16,950,0.15,24,0,19,7,14500,0,98,Mortgage,Married,Master,1
22,28000,1,1050,0.45,74,5,2,2,4500,1,59,Rent,Single,HighSchool,0
37,62000,10,1100,0.21,38,1,12,6,11500,0,91,Own,Married,Bachelor,1
48,85000,20,950,0.13,21,0,23,8,17000,0,99,Mortgage,Married,Master,1
31,49000,6,1150,0.28,47,2,7,5,10500,0,86,Rent,Single,Bachelor,1
25,36000,2,900,0.30,54,2,4,3,6000,0,82,Rent,Single,HighSchool,0
43,74000,14,1000,0.16,28,0,17,7,13500,0,97,Own,Married,Bachelor,1
28,44000,5,950,0.26,44,1,6,4,8000,0,90,Rent,Single,Bachelor,1
50,90000,22,1100,0.15,20,0,25,9,18000,0,99,Mortgage,Married,Master,1
36,60000,10,1250,0.25,45,2,11,5,12000,0,88,Own,,Bachelor,1
33,48000,7,1750,0.46,78,5,8,4,14000,1,63,Rent,Divorced,HighSchool,0
46,81000,18,900,0.13,22,0,21,8,15500,0,99,Mortgage,Married,Master,1
27,40000,3,850,0.25,40,1,5,3,7000,0,91,Rent,Single,Bachelor,1
52,94000,24,1050,0.13,19,0,27,9,19500,0,100,Own,Married,Master,1
35,55000,8,1300,0.28,49,2,9,5,12500,0,87,Rent,Single,Bachelor,1
30,45000,5,1650,0.48,80,6,6,4,12000,1,58,Rent,Single,HighSchool,0
41,71000,13,1000,0.17,30,0,15,6,13000,0,96,Own,Married,Bachelor,1
26,38000,3,800,0.23,39,1,4,3,6500,0,92,Rent,Single,HighSchool,1
49,86000,20,950,0.13,20,0,24,8,17500,0,99,Mortgage,Married,Master,1
38,64000,11,1100,0.21,34,1,13,6,11800,0,92,Own,Married,Bachelor,1
29,42000,4,950,0.27,45,2,6,4,7800,0,87,Rent,Single,Bachelor,1
54,99000,27,1200,0.15,19,0,30,10,22000,0,100,Own,Married,Master,1
32,51000,7,1400,0.33,55,3,8,5,11000,0,81,Rent,Single,Bachelor,0
47,82000,19,900,0.13,21,0,22,8,16000,0,99,,Married,Master,1
26,37000,3,750,0.22,37,1,4,3,6200,0,91,Rent,Single,HighSchool,1
40,71000,13,1050,0.18,29,0,15,6,13200,0,96,Own,Married,Bachelor,1
35,56000,8,1250,0.27,46,2,9,5,12200,0,88,Rent,Single,Bachelor,1
23,31000,1,1150,0.46,76,5,2,2,5200,1,60,Rent,Single,HighSchool,0
51,92000,23,1000,0.13,18,0,26,9,19000,0,100,Mortgage,Married,Master,1
28,45000,5,900,0.24,40,1,6,4,7600,0,92,Rent,Single,Bachelor,1
44,75000,15,950,0.15,24,0,18,7,14500,0,98,Own,Married,Bachelor,1
33,49000,7,1800,0.45,74,4,8,5,13800,1,66,Rent,Divorced,Bachelor,0
48,84000,20,950,0.13,22,0,23,8,16800,0,99,Mortgage,Married,Master,1
30,47000,6,1000,0.26,43,1,7,5,9800,0,90,Rent,Single,Bachelor,1
36,61000,10,1200,0.24,41,1,11,5,12100,0,90,Own,Married,Bachelor,1
25,35000,2,950,0.33,60,3,3,2,5900,0,77,Rent,Single,HighSchool,0
42,73000,14,1000,0.16,27,0,16,7,13600,0,97,Mortgage,Married,Bachelor,1
55,106000,30,1200,0.14,17,0,34,11,25500,0,100,Own,Married,PhD,1
31,52000,7,1100,0.25,44,2,8,5,10400,0,89,Rent,Single,Bachelor,1
39,66000,12,950,0.17,31,0,14,6,11900,0,95,Own,Married,Bachelor,1
27,39000,4,1600,0.49,81,6,5,3,11000,1,57,Rent,Single,HighSchool,0
50,89000,22,1050,0.14,20,0,24,9,18200,0,99,Mortgage,Married,Master,1
34,57000,9,1150,0.24,42,1,10,5,,0,91,Rent,Single,Bachelor,1
46,79000,18,900,0.13,22,0,21,8,15200,0,99,Mortgage,Married,Master,1
24,33000,2,850,0.30,54,2,3,2,5600,0,82,Rent,Single,HighSchool,0
41,70000,13,1000,0.17,28,0,15,6,13000,0,96,Own,Married,Bachelor,1
29,43000,5,950,0.26,43,1,6,4,8100,0,90,Rent,Single,Bachelor,1
53,96000,25,1100,0.14,19,0,28,9,20000,0,100,Own,Married,Master,1
37,62000,10,1250,0.24,44,2,12,5,12300,0,89,Rent,Single,Bachelor,1
26,36000,3,800,0.24,39,1,4,3,6400,0,91,Rent,Single,HighSchool,1
45,78000,17,900,0.14,23,0,20,8,14800,0,98,Mortgage,Married,Bachelor,1
32,50000,7,1700,0.41,69,4,8,5,13000,1,68,Rent,Divorced,Bachelor,0
49,86000,21,950,0.13,20,0,24,8,17500,0,99,Mortgage,Married,Master,1
28,44000,5,900,0.25,41,1,6,4,7900,0,91,Rent,Single,Bachelor,1
38,65000,11,1050,0.19,32,0,13,6,12000,0,95,Own,Married,Bachelor,1
22,29000,1,1200,0.50,83,6,2,2,5000,1,55,Rent,Single,HighSchool,0
52,95000,24,1100,0.14,18,0,27,9,19800,0,100,Own,Married,Master,1
35,58000,9,1200,0.25,45,2,10,5,12100,0,88,Rent,Single,Bachelor,1
43,74000,15,950,0.15,26,0,17,7,13800,,98,Own,Married,Bachelor,1
30,46000,6,1050,0.27,46,2,7,4,9600,0,87,Rent,Single,Bachelor,1
47,81000,19,900,0.13,21,0,22,8,15800,0,99,Mortgage,Married,Master,1
33,48000,7,1750,0.44,72,4,8,5,13600,1,65,Rent,Divorced,Bachelor,0
54,101000,28,1150,0.14,18,0,31,10,22500,0,100,Own,Married,PhD,1
27,40000,4,850,0.24,40,1,5,3,7000,0,92,Rent,Single,Bachelor,1
40,69000,12,1000,0.17,30,0,14,6,12800,0,96,Own,Married,Bachelor,1
31,51000,7,1500,0.36,60,3,8,5,11800,0,80,Rent,Single,Bachelor,0
48,83000,20,900,0.13,21,0,23,8,16600,0,99,Mortgage,Married,Master,1
25,34000,2,900,0.31,57,2,3,2,5800,0,80,Rent,Single,HighSchool,0
36,60000,10,1100,0.22,38,1,11,5,11900,0,91,Own,Married,Bachelor,1
44,76000,16,950,0.15,24,0,18,7,14200,0,98,Own,Married,Bachelor,1
28,43000,5,900,0.25,42,1,6,4,7800,0,91,Rent,Single,Bachelor,1
53,97000,26,1100,0.14,18,0,29,9,20500,0,100,Mortgage,Married,Master,1
34,57000,9,1300,0.27,47,2,10,5,12200,0,88,Rent,Single,Bachelor,1
26,36000,3,850,0.26,43,2,4,3,6500,0,87,Rent,Single,HighSchool,1
47,82000,19,900,0.13,21,0,22,8,16000,0,99,Mortgage,Married,Master,1
31,50000,7,1100,0.26,44,1,8,5,9800,0,90,Rent,Single,Bachelor,1
24,32000,2,1200,0.47,78,5,3,2,5500,1,61,Rent,Single,HighSchool,0
39,66000,12,1000,0.18,30,0,14,6,12100,0,96,Own,Married,Bachelor,1
55,108000,31,1200,0.13,17,0,35,11,26000,0,100,Own,Married,PhD,1
33,49000,8,1750,0.43,71,4,8,5,13500,1,66,Rent,Divorced,Bachelor,0
42,73000,15,950,0.15,26,0,16,7,13600,0,98,Mortgage,Married,Bachelor,1
29,44000,5,900,0.24,39,1,6,4,8000,0,92,Rent,Single,Bachelor,1
37,62000,11,1150,0.22,40,1,12,5,12300,0,91,Own,Married,Bachelor,1
23,30000,1,1050,0.42,69,4,2,2,4900,1,64,Rent,Single,HighSchool,0
50,90000,23,1000,0.13,20,0,25,9,18500,0,99,Mortgage,Married,Master,1
35,58000,9,1200,0.25,46,2,10,5,12000,0,88,Rent,Single,Bachelor,1
45,78000,17,900,0.14,23,0,20,8,14800,0,98,Own,Married,Bachelor,1
27,39000,4,800,0.23,38,1,5,3,6900,0,91,Rent,Single,HighSchool,1
52,94000,25,1100,0.14,18,0,28,9,19500,0,100,Mortgage,Married,Master,1
36,61000,10,1300,0.26,45,2,11,5,12400,0,88,Rent,Single,Bachelor,1
30,46000,6,1600,0.40,66,4,7,4,11200,1,70,Rent,Divorced,Bachelor,0
48,85000,21,950,0.13,21,0,23,8,17000,0,99,Mortgage,Married,Master,1
32,52000,7,1000,0.23,37,0,8,5,9900,0,94,Own,Single,Bachelor,1
25,34000,2,950,0.34,59,3,3,2,5700,0,77,Rent,Single,HighSchool,0
41,71000,14,1000,0.17,28,0,15,6,13100,0,97,Own,Married,Bachelor,1
29,42000,5,900,0.25,41,1,6,4,7900,0,,Rent,Single,Bachelor,1
54,100000,28,1150,0.14,18,0,31,10,22300,0,100,Own,Married,Master,1
38,64000,11,1100,0.21,35,1,13,6,11800,0,92,Own,Married,Bachelor,1
26,37000,3,850,0.25,42,2,4,3,6400,0,88,Rent,Single,HighSchool,1
46,80000,19,900,0.13,22,0,22,8,15600,0,99,Mortgage,Married,Master,1
31,51000,7,1500,0.36,61,3,8,5,11900,0,80,Rent,Single,Bachelor,0
49,87000,22,950,0.13,20,0,24,8,17600,0,99,Mortgage,Married,Master,1
28,45000,5,950,0.24,40,1,6,4,8100,0,92,Rent,Single,Bachelor,1
40,70000,13,1000,0.17,29,0,15,6,12900,0,96,Own,Married,Bachelor,1
22,29000,1,1250,0.51,84,6,2,2,5100,1,54,Rent,Single,HighSchool,0
53,96000,26,1100,0.14,18,0,29,9,20200,0,100,Own,Married,Master,1
34,56000,8,1200,0.26,46,2,9,5,12100,0,88,Rent,Single,Bachelor,1
43,74000,15,950,0.15,25,0,17,7,13900,0,98,Own,Married,Bachelor,1
30,47000,6,1050,0.27,47,2,7,4,9800,0,87,Rent,Single,Bachelor,1
47,81000,20,900,0.13,21,0,22,8,15900,0,99,Mortgage,Married,Master,1
33,48000,7,1700,0.42,70,4,8,5,13400,1,67,Rent,Divorced,Bachelor,0
55,109000,32,1200,0.13,17,0,36,11,26500,0,100,Own,Married,PhD,1
27,40000,4,850,0.24,39,1,5,3,7100,0,92,Rent,Single,Bachelor,1
39,67000,12,1050,0.18,31,0,14,6,12200,0,95,Own,Married,Bachelor,1
32,53000,8,1400,0.31,54,3,9,5,11300,0,82,Rent,Single,Bachelor,0
50,89000,23,1000,0.13,19,0,25,9,18400,0,99,Mortgage,Married,Master,1
24,33000,2,900,0.32,56,2,3,2,5600,0,80,Rent,Single,HighSchool,0
36,60000,10,1100,0.22,39,1,11,5,12000,0,91,Own,Married,Bachelor,1
45,79000,18,900,0.13,22,0,21,8,15000,0,99,Mortgage,Married,Master,1
37,63000,11,1150,0.22,40,1,12,6,12400,0,91,Own,Married,Bachelor,1
28,44000,5,950,0.25,42,1,6,4,7900,0,90,Rent,Single,Bachelor,1
54,101000,29,1100,0.13,18,0,31,10,22500,0,100,Own,Married,Master,1
33,55000,8,1250,0.27,46,2,9,5,11900,0,88,Rent,Single,Bachelor,1
25,35000,2,900,0.31,56,2,3,2,5800,0,79,Rent,Single,HighSchool,0
48,83000,20,900,0.13,21,0,23,8,16800,0,99,Mortgage,Married,Master,1
31,51000,7,1000,0.23,38,1,8,5,10100,0,92,Rent,Single,Bachelor,1
22,30000,1,1200,0.48,80,5,2,2,5000,1,59,Rent,Single,HighSchool,0
40,70000,13,1000,0.17,29,0,15,6,13000,0,96,Own,Married,Bachelor,1
55,110000,32,1250,0.14,17,0,36,11,27000,0,100,Own,Married,PhD,1
34,50000,8,1700,0.41,68,4,8,5,13200,1,69,Rent,Divorced,Bachelor,0
43,74000,15,950,0.15,25,0,17,7,14000,0,98,Mortgage,Married,Bachelor,1
29,45000,5,900,0.24,40,1,6,4,8100,0,91,Rent,Single,Bachelor,1
36,60000,10,1200,0.24,43,2,11,5,12200,0,89,Own,Married,Bachelor,1
24,32000,2,1050,0.40,67,4,3,2,5600,1,65,Rent,Single,HighSchool,0
50,91000,24,1000,0.13,19,0,26,9,18800,0,100,Mortgage,Married,Master,1
35,58000,9,1150,0.24,44,1,10,5,12100,0,90,Rent,Single,Bachelor,1
46,79000,18,900,0.13,22,0,21,8,15200,0,99,Own,Married,Master,1
27,39000,4,850,0.24,39,1,5,3,6900,0,91,Rent,Single,HighSchool,1
52,95000,25,1050,0.13,18,0,28,9,19800,0,100,Mortgage,Married,Master,1
38,65000,11,1100,0.20,34,1,13,6,12000,0,92,Own,Married,Bachelor,1
30,47000,6,1650,0.39,64,4,7,4,11500,1,71,Rent,Divorced,Bachelor,0
49,86000,22,950,0.13,20,0,24,8,17500,0,99,Mortgage,Married,Master,1
32,53000,8,1000,0.22,36,0,9,5,10200,0,94,Own,Single,Bachelor,1
23,31000,1,1000,0.39,65,3,2,2,5300,0,76,Rent,Single,HighSchool,0
42,72000,14,1000,0.17,28,0,16,7,13500,0,97,Own,Married,Bachelor,1
28,43000,5,900,0.25,41,1,6,4,8000,0,90,Rent,Single,Bachelor,1
53,98000,27,1100,0.13,18,0,30,9,21000,0,100,Own,Married,Master,1
39,67000,12,1050,0.19,32,1,14,6,12300,0,93,Own,Married,Bachelor,1
26,37000,3,850,0.25,43,2,4,3,6500,0,87,Rent,Single,HighSchool,1
47,82000,20,900,0.13,21,0,23,8,16000,0,99,Mortgage,Married,Master,1
31,50000,7,1450,0.35,59,3,8,5,11700,0,81,Rent,Single,Bachelor,0
54,102000,30,1150,0.14,18,0,32,10,22800,0,100,Own,Married,Master,1
34,56000,9,1200,0.25,45,2,10,5,12200,0,88,Rent,Single,Bachelor,1
25,36000,3,850,0.24,38,1,4,3,6200,0,91,Rent,Single,HighSchool,1
45,78000,17,900,0.13,22,0,20,8,14900,0,99,Mortgage,Married,Bachelor,1
33,49000,8,1750,0.42,69,4,8,5,13400,1,68,Rent,Divorced,Bachelor,0
51,93000,24,1000,0.13,19,0,27,9,19200,0,100,Own,Married,Master,1
29,44000,5,950,0.25,42,1,6,4,7900,0,90,Rent,Single,Bachelor,1
40,69000,13,1000,0.17,30,0,15,6,12800,0,96,Own,Married,Bachelor,1
24,33000,2,1150,0.44,73,5,3,2,5600,1,61,Rent,Single,HighSchool,0
48,84000,21,900,0.13,21,0,24,8,17000,0,99,Mortgage,Married,Master,1
35,57000,9,1250,0.26,46,2,10,5,12000,0,88,Rent,Single,Bachelor,1
43,75000,16,950,0.15,24,0,18,7,14200,0,98,Own,Married,Bachelor,1
30,46000,6,1000,0.26,44,1,7,4,9800,0,89,Rent,Single,Bachelor,1
52,96000,26,1050,0.13,18,0,29,9,20200,0,100,Mortgage,Married,Master,1
37,62000,11,1150,0.22,40,1,12,6,12300,0,91,Own,Married,Bachelor,1
27,40000,4,850,0.24,39,1,5,3,7000,0,92,Rent,Single,Bachelor,1
49,87000,22,950,0.13,20,0,25,8,17600,0,99,Mortgage,Married,Master,1
36,61000,10,1300,0.26,47,2,11,5,12400,0,87,Rent,Single,Bachelor,1
41,72000,14,1000,0.17,29,0,16,7,13200,0,97,Own,Married,Bachelor,1
28,45000,5,950,0.24,41,1,6,4,8100,0,91,Rent,Single,Bachelor,1
55,112000,33,1200,0.13,17,0,37,11,27500,0,100,Own,Married,PhD,1
34,58000,9,1250,0.26,45,2,10,5,12300,0,,Rent,Single,Bachelor,1
26,38000,3,900,0.25,40,1,4,3,6700,0,90,Rent,Single,HighSchool,1
47,83000,20,900,0.13,21,0,23,8,16200,0,99,Mortgage,Married,Master,1
32,52000,8,1050,0.23,38,1,9,5,10300,0,92,Own,Single,Bachelor,1
23,31000,1,1250,0.49,81,5,2,2,5200,1,58,Rent,Single,HighSchool,0
39,68000,12,1000,0.18,31,0,14,6,12400,0,95,Own,Married,Bachelor,1
53,99000,27,1100,0.13,18,0,30,10,21500,0,100,Mortgage,Married,Master,1
35,51000,8,1750,0.43,70,4,9,5,13600,1,67,Rent,Divorced,Bachelor,0
44,76000,16,950,0.15,25,0,18,7,14300,0,98,Own,Married,Bachelor,1
29,44000,5,900,0.24,40,1,6,4,8000,0,91,Rent,Single,Bachelor,1
37,63000,11,1200,0.23,42,1,12,6,12500,0,90,Own,Married,Bachelor,1
24,33000,2,1100,0.41,68,4,3,2,5700,1,64,Rent,Single,HighSchool,0
50,92000,24,1000,0.13,19,0,26,9,19000,0,100,Mortgage,Married,Master,1
36,59000,10,1150,0.23,43,1,11,5,12100,0,91,Rent,Single,Bachelor,1
46,80000,19,900,0.13,22,0,22,8,15400,0,99,Mortgage,Married,Master,1
27,40000,4,850,0.24,39,1,5,3,7000,0,92,Rent,Single,HighSchool,1
52,95000,26,1050,0.13,18,0,29,9,20000,0,100,Own,Married,Master,1
38,66000,12,1100,0.20,35,1,13,6,12100,0,92,Own,Married,Bachelor,1
31,48000,7,1600,0.38,63,4,8,4,11400,1,72,Rent,Divorced,Bachelor,0
49,87000,22,950,0.13,20,0,24,8,17600,0,99,Mortgage,Married,Master,1
33,54000,8,1000,0.22,37,0,9,5,10400,0,94,Own,Single,Bachelor,1
25,35000,2,950,0.33,58,3,3,2,5900,0,78,Rent,Single,HighSchool,0
42,73000,15,1000,0.17,28,0,17,7,13600,0,97,Own,Married,Bachelor,1
28,43000,5,900,0.25,42,1,6,4,7900,0,90,Rent,Single,Bachelor,1
54,101000,29,1150,0.14,18,0,31,10,22500,0,100,Own,Married,Master,1
40,69000,13,1050,0.18,32,1,15,6,12500,0,93,Own,Married,Bachelor,1
26,37000,3,850,0.25,43,2,4,3,6500,0,88,Rent,Single,HighSchool,1
48,84000,21,900,0.13,21,0,23,8,16800,0,99,Mortgage,Married,Master,1
